Tipo;Bairro;Quartos;Vagas;Suites;Area;Condominio;Valor Bruto;Tipos agregado
Conjunto Comercial/Sala;Centro;0;0;0;40;595.0;1493.0;Apartamento
Prédio Inteiro;Ramos;0;0;0;1200;;;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;100;915.0;;Apartamento
Apartamento;Tijuca;2;1;0;80;662.0;;Apartamento
Apartamento;Jardim Botânico;2;1;1;80;1350.0;4410.0;Apartamento
Apartamento;Ipanema;4;2;4;240;4340.0;24242.0;Apartamento
Apartamento;Anil;2;1;0;55;439.0;1589.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;70;650.0;2143.0;Apartamento
Apartamento;Barra da Tijuca;3;2;3;118;1450.0;5820.0;Apartamento
Apartamento;Ipanema;4;3;4;180;3500.0;29500.0;Apartamento
Apartamento;Ipanema;3;1;1;120;1600.0;6471.0;Apartamento
Apartamento;Jacarepaguá;2;1;1;65;550.0;;Apartamento
Apartamento;Ipanema;3;1;2;130;2220.0;10760.0;Apartamento
Loja/Salão;Tijuca;0;0;0;48;4400.0;6590.0;Apartamento
Apartamento;Lagoa;3;2;1;165;1598.0;8993.0;Apartamento
Apartamento;Barra da Tijuca;4;2;1;260;2370.0;9600.0;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;36;702.0;2439.0;Apartamento
Conjunto Comercial/Sala;Ipanema;0;0;0;43;758.0;3242.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;35;528.0;;Apartamento
Apartamento;Lagoa;4;4;2;400;2500.0;32500.0;Apartamento
Apartamento;Copacabana;1;0;0;40;958.0;2383.0;Apartamento
Apartamento;Ipanema;3;1;1;160;1630.0;9050.0;Apartamento
Apartamento;Riachuelo;2;0;1;70;328.0;;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;0;62;575.0;1637.0;Apartamento
Apartamento;Ipanema;4;4;3;450;12815.0;50815.0;Apartamento
Apartamento;Copacabana;3;1;1;120;900.0;;Apartamento
Casa de Vila;Campinho;2;1;0;71;80.0;;casa
Conjunto Comercial/Sala;Cidade Nova;0;80;0;9600;130020.0;;Apartamento
Apartamento;Leblon;3;1;1;200;1680.0;7280.0;Apartamento
Apartamento;Ipanema;2;1;0;63;610.0;5700.0;Apartamento
Apartamento;Praça Seca;2;1;0;67;477.0;1513.0;Apartamento
Flat;Ipanema;2;1;1;80;3980.0;15380.0;Apartamento
Loja/Salão;Leblon;0;0;0;40;;;Apartamento
Quitinete;Leblon;1;0;0;30;560.0;2189.0;Apartamento
Conjunto Comercial/Sala;Del Castilho;0;1;0;26;408.0;1364.0;Apartamento
Apartamento;Lagoa;3;1;1;128;1200.0;7549.0;Apartamento
Apartamento;Leblon;1;1;0;81;1520.0;7529.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;30;308.0;;Apartamento
Apartamento;Copacabana;4;1;1;206;1900.0;7688.0;Apartamento
Conjunto Comercial/Sala;Cacuia;0;0;0;300;100.0;9550.0;Apartamento
Apartamento;São Conrado;3;1;1;130;1980.0;8413.0;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;6;0;215;7759.0;21628.0;Apartamento
Apartamento;Grajaú;2;1;1;110;1100.0;3050.0;Apartamento
Apartamento;Barra da Tijuca;3;2;2;200;1700.0;11250.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;39;1300.0;1918.0;Apartamento
Apartamento;Ipanema;3;1;1;170;2300.0;7900.0;Apartamento
Apartamento;Abolição;2;1;0;65;280.0;;Apartamento
Apartamento;Freguesia (Jacarepaguá);4;2;3;220;1800.0;5508.0;Apartamento
Apartamento;Copacabana;1;0;0;45;396.0;;Apartamento
Apartamento;Barra da Tijuca;2;1;1;78;850.0;3052.0;Apartamento
Casa;Quintino Bocaiúva;2;1;0;80;;;casa
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;35;909.0;2317.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;66;917.0;;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;40;1040.0;;Apartamento
Casa de Vila;Catete;6;1;1;132;200.0;4910.0;casa
Apartamento;Botafogo;3;2;1;130;1400.0;;Apartamento
Casa de Condomínio;Barra da Tijuca;5;3;5;775;2134.0;48121.0;casa
Apartamento;Urca;2;0;0;80;530.0;3214.0;Apartamento
Apartamento;Flamengo;4;1;1;240;1700.0;;Apartamento
Apartamento;Vila da Penha;2;0;0;60;;;Apartamento
Apartamento;Copacabana;1;0;0;59;600.0;2525.0;Apartamento
Apartamento;Madureira;2;1;0;70;550.0;;Apartamento
Apartamento;Pechincha;3;1;1;76;700.0;3000.0;Apartamento
Loja Shopping/ Ct Comercial;Centro;0;0;0;91;;;Apartamento
Apartamento;Ipanema;4;1;4;500;3100.0;;Apartamento
Galpão/Depósito/Armazém;Bonsucesso;0;0;0;100;200.0;2300.0;Apartamento
Apartamento;Centro;1;0;0;43;400.0;1418.0;Apartamento
Apartamento;Lins de Vasconcelos;1;1;1;98;913.0;1795.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;950.0;3030.0;Apartamento
Apartamento;Leme;4;2;1;400;3200.0;15565.0;Apartamento
Apartamento;Copacabana;3;1;1;100;748.0;5363.0;Apartamento
Apartamento;Jardim Botânico;6;2;1;320;2800.0;23949.0;Apartamento
Apartamento;Ipanema;3;2;1;160;2200.0;8995.0;Apartamento
Prédio Inteiro;Barra da Tijuca;0;4;0;360;1700.0;;Apartamento
Apartamento;Copacabana;3;1;3;300;2290.0;10314.0;Apartamento
Apartamento;Copacabana;3;0;0;110;1000.0;3720.0;Apartamento
Conjunto Comercial/Sala;Leblon;0;1;0;112;4000.0;28300.0;Apartamento
Apartamento;Flamengo;2;0;0;75;577.0;3237.0;Apartamento
Quitinete;Urca;1;0;0;35;300.0;;Apartamento
Apartamento;Braz de Pina;2;0;0;60;;;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;36;1182.0;1969.0;Apartamento
Casa de Condomínio;Barra da Tijuca;4;4;3;256;1495.0;10095.0;casa
Casa;Barra da Tijuca;5;2;5;320;1000.0;17800.0;casa
Apartamento;Vila da Penha;2;0;0;52;440.0;;Apartamento
