TagName,obs
MCLC_Disp01_Control15.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control16.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control17.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control17.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control17.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control18.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control18.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control18.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control19.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control19.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control19.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control20.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control20.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control20.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control21.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control21.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control21.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control22.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control23.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control23.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control23.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp02_Control01.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp02_Control12.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp02_Control23.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp03_Control01.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp03_Control29.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp05_Control01.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp05_Control14.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp05_Control24.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp05_Control34.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp05_Control46.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_A06_C00_VAV02.SPVazao,ponto nescessario para air manager
MCLC_A06_C00_VAV03.SPVazao,ponto nescessario para air manager
MCLC_A06_C00_VAV04.SPVazao,ponto nescessario para air manager
MCLC_A06_C00_VAV05.SPVazao,ponto nescessario para air manager
MCLC_A06_C00_VAV06.SPVazao,ponto nescessario para air manager
MCLC_A06_C00_VAV07.SPVazao,ponto nescessario para air manager
MCLC_A06_C00_VAV08.SPVazao,ponto nescessario para air manager
MCLC_A06_C00_VAV09.SPVazao,ponto nescessario para air manager
MCLC_A06_C00_VAV10.SPVazao,ponto nescessario para air manager
MCLC_A06_C00_VAV11.SPVazao,ponto nescessario para air manager
MCLC_A06_C00_VAV12.SPVazao,ponto nescessario para air manager
MCLC_A06_C00_VAV13.SPVazao,ponto nescessario para air manager
MCLC_A06_C00_VAV14.SPVazao,ponto nescessario para air manager
MCLC_A06_C00_VAV15.SPVazao,ponto nescessario para air manager
MCLC_A06_C00_VAV16.SPVazao,ponto nescessario para air manager
MCLC_A06_C00_VAV17.SPVazao,ponto nescessario para air manager
MCLC_A06_C00_VAV18.SPVazao,ponto nescessario para air manager
MCLC_A06_C00_VAV19.SPVazao,ponto nescessario para air manager
MCLC_A06_C00_VAV20.SPVazao,ponto nescessario para air manager
MCLC_A06_C00_VAV21.SPVazao,ponto nescessario para air manager
MCLC_A06_C00_VAV22.SPVazao,ponto nescessario para air manager
MCLC_A06_C00_VAV23.SPVazao,ponto nescessario para air manager
MCLC_A06_C00_VAV24.SPVazao,ponto nescessario para air manager
MCLC_A06_C00_VAV25.SPVazao,ponto nescessario para air manager
MCLC_A06_C00_VAV26.SPVazao,ponto nescessario para air manager
MCLC_A06_C00_VAV27.SPVazao,ponto nescessario para air manager
MCLC_A06_C00_VAV28.SPVazao,ponto nescessario para air manager
MCLC_LSpk01_BJck01.contador,
MCLC_SDAI_A08_Z09.estado,
MCLC_SDAI_A10_Z11.estado,
MCLC_SDAI_A12_Z13.estado,
MCLC_SDAI_C01_Z23.estado,
MCLC_SDAI_S01_Z17.estado,
MCLC_SDAI_A02_Z03.estado,
MCLC_SDAI_A07_Z08.estado,
MCLC_A12_C00_VAV17.SPVazao,foi integrado o ponto.
MCLC_A09_C00_VAV11.confiabilidade,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV11.Damper,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV11.SPVazao,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV11.Temp,valores zerados no supervisorio e referencia perdida no coletor
